title,price,location,search
Gator Frame Works Laptop Stand Mount,$65,Rego Park,laptop
Monitor And Laptop Mount for Desk (NEW!!!),$55,Rego Park,laptop
ULTIMATE SUPPORT DJ LAPTOP STAND MOUNT,$125,Forest Hills,laptop
ALIENWARE R12 PC CASE #pc #cheap #smart #iphone #ipad #android #laptop,$70,Lower East Side,laptop
Dell Latitude 5400 Laptop Notebook Computer 256GB 16GB 1.6GHz+Monitor,$160,Williamsburg/Greenpoint,laptop
Samsung Laptop DVDRW,$20,Brooklyn,laptop
Toshiba /Satellite L755D-S5162 Laptop,$99,Brooklyn,laptop
Dell Latitude E5440 Laptop,$169,Brooklyn,laptop
Dell Latitude E7270 Laptop,$189,Brooklyn,laptop
Compaq Presario CQ56-129NR Laptop,$99,Brooklyn,laptop
Dell Latitude E6420 14” Laptop,$159,Brooklyn,laptop
Sony Laptop Screen PCG-7181M,$30,Brooklyn,laptop
HP  LAPTOP BAG,$25,Long Island City,laptop
Laptop cooling fan,N/A,Middle village,laptop
"BMAX S14Pro 14"" Laptop, 8GB RAM 256GB SSD Intel Pentium Silver N5000",$200,Forest Hills,laptop
Unisex Kenneth Cole Reaction Black Leather Laptop Briefcase,$59,"Bushwick, Brooklyn",laptop
"Dell Inspiron 3521 15"" Laptop,6GB RAM,500GB HDD,Windows 10 + MS Office",$130,"Jackson Heights, Queens",laptop
"HP 15” laptop:AMD A6-5200 QuadCore/4GB RAM/500GB HDD,Win.10+MS Office",$120,"Jackson Heights, Queens",laptop
HP 15” laptop: AMD QuadCore/4GB RAM/500GB HDD/Windows 10 + MS Office,$125,"Jackson Heights, Queens",laptop
NIGHTHAWK R6700V3 #pc #cheap #smart #iphone #ipad #android #laptop,$20,Lower East Side,laptop
MSI GS76 STEALTH Gaming Laptop 17.3FHD 360hz Laptop,"$1,100",Ozone Park,laptop
Apple-MacBook Air 13-inch Laptop  -  M3 chip - 8GB Memory- 256GB SSD - Space Gra,$800,Brooklyn,laptop
"Dell Power Adapter Laptop Cooling Pad, Gaming Laptop Cooler Laptop Fan",$15,Forest Hills,laptop
IKEA VITTSJÖ laptop desk console table black/glass,$20,Ridgewood,laptop
Laptop bag,$30,Forest Hills,laptop
Black Laptop (business) bag,$30,Forest Hills,laptop
Kensington Targus Combination Laptop Lock security cable lock,$30,Astoria,laptop
Kensington Targus Combination Laptop Lock security cable lock,$30,Astoria,laptop
Evolve III Maestro E-Book MEB11WIFI 11.6 Laptop,$65,Forest Hills,laptop
"VITTSJÖ Laptop Table Desk, White",$50,Brooklyn,laptop
Belkin Laptop Fan for laptop or Wireless Router,N/A,Brooklyn,laptop
Universal car and home adapter for laptop,$20,"Fort Greene, Brooklyn",laptop
"HP OMEN 15"" Gaming Laptop",$525,"Fort Greene, Brooklyn",laptop
"Lenovo Business laptop,X230,Windows 11 Pro 64bit and Office 2024",$200,"Fort Greene, Brooklyn",laptop
dell laptop battery,$25,queens,laptop
17” Laptop Bag - Kenneth Cole Reaction,$4,Brooklyn,laptop
